,Unnamed: 0,Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked,JobRole_FreqEncoded,EducationField_FreqEncoded,Department_Research & Development,Department_Sales,MaritalStatus_Married,MaritalStatus_Single
0,0,41,1,1102,1,2,Life Sciences,1,1,0,94,2,5993,19479,0,11,1,80,0,0,Sales Executive,3,4,5,2.19722457733622,1.9459101490553128,0.0,1,4,2,3,1,1,8,285,510,False,True,False,True
1,2,37,1,1373,2,2,Other,1,4,1,92,1,2090,2396,0,15,2,80,0,3,Laboratory Technician,3,0,0,2.079441541679836,0.0,0.0,1,3,4,2,3,1,6,217,68,True,False,False,True
2,3,33,2,1392,3,4,Life Sciences,1,5,0,56,1,2909,23159,0,11,3,80,0,3,Research Scientist,3,7,0,2.19722457733622,2.19722457733622,1.3862943611198906,0,3,4,3,3,1,1,243,510,True,False,True,False
3,4,27,1,591,2,1,Medical,1,7,1,40,1,3468,16632,0,12,4,80,1,3,Laboratory Technician,3,2,2,1.9459101490553128,1.0986122886681096,1.0986122886681096,0,2,1,3,3,0,9,217,389,True,False,True,False
4,5,32,2,1005,2,2,Life Sciences,1,8,1,79,1,3068,11864,0,13,3,80,0,2,Laboratory Technician,3,7,6,2.19722457733622,2.079441541679836,1.3862943611198906,0,4,4,3,2,0,0,217,510,True,False,False,True
5,9,36,1,1299,27,3,Medical,1,13,1,94,2,5237,16577,0,13,2,80,2,3,Healthcare Representative,3,7,7,2.8903717578961645,2.079441541679836,2.079441541679836,0,3,3,3,2,0,6,111,389,True,False,True,False
6,10,35,1,809,16,3,Medical,1,14,1,84,1,2426,16479,0,13,3,80,1,5,Laboratory Technician,3,4,3,1.9459101490553128,1.791759469228055,0.0,0,2,1,4,3,0,0,217,389,True,False,True,False
7,11,29,1,153,15,2,Life Sciences,1,15,0,49,2,4193,12682,0,12,4,80,0,3,Laboratory Technician,3,5,8,2.3978952727983707,2.302585092994046,0.0,0,3,4,2,3,1,0,217,510,True,False,False,True
8,12,31,1,670,26,1,Life Sciences,1,16,1,31,1,2911,15170,0,17,4,80,1,1,Research Scientist,3,2,3,1.791759469228055,1.791759469228055,1.6094379124341005,0,3,1,3,2,0,1,243,510,True,False,False,False
9,13,34,1,1346,19,2,Medical,1,18,1,93,1,2661,8758,0,11,3,80,1,2,Laboratory Technician,3,2,2,1.3862943611198906,1.0986122886681096,0.6931471805599453,0,4,2,3,3,0,0,217,389,True,False,False,False
10,14,28,1,103,24,3,Life Sciences,1,19,1,50,1,2028,12947,0,14,2,80,0,4,Laboratory Technician,3,2,3,1.9459101490553128,1.6094379124341005,0.0,1,3,3,2,3,1,5,217,510,True,False,False,True
11,15,29,1,1389,21,4,Life Sciences,1,20,0,51,3,9980,10195,0,11,3,80,1,1,Manufacturing Director,3,9,8,2.3978952727983707,2.3978952727983707,2.19722457733622,0,1,2,4,3,0,1,118,510,True,False,False,False
12,16,32,1,334,5,2,Life Sciences,1,21,1,80,1,3298,15053,0,12,4,80,2,5,Research Scientist,3,2,5,2.079441541679836,1.9459101490553128,0.0,0,2,1,4,2,1,0,243,510,True,False,False,False
13,17,22,0,1123,16,2,Medical,1,22,1,96,1,2935,7324,0,13,2,80,2,2,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,4,4,4,2,1,1,217,389,True,False,False,False
14,18,53,1,1219,2,4,Life Sciences,1,23,0,78,4,15427,22021,0,16,3,80,0,3,Manager,3,8,7,3.4657359027997265,3.258096538021482,1.3862943611198906,0,4,1,2,3,0,2,82,510,False,True,True,False
15,19,38,1,371,2,3,Life Sciences,1,24,1,45,1,3944,4306,0,11,3,80,0,3,Research Scientist,3,2,2,1.9459101490553128,1.3862943611198906,0.6931471805599453,0,4,4,3,3,1,5,243,510,True,False,False,True
16,20,24,0,673,11,2,Other,1,26,0,96,2,4011,8232,0,18,4,80,1,5,Manufacturing Director,3,2,3,1.791759469228055,1.6094379124341005,0.6931471805599453,0,3,1,4,2,0,0,118,68,True,False,False,False
17,22,34,1,419,7,4,Life Sciences,1,28,0,53,3,11994,21293,0,11,3,80,0,4,Research Director,3,6,11,2.639057329615259,2.5649493574615367,1.0986122886681096,0,2,1,3,3,0,0,72,510,True,False,False,True
18,23,21,1,391,15,2,Life Sciences,1,30,1,96,1,1232,19281,0,14,4,80,0,6,Research Scientist,3,0,0,0.0,0.0,0.0,0,4,3,3,3,0,1,243,510,True,False,False,True
19,24,34,1,699,6,1,Medical,1,31,1,83,1,2960,17102,0,11,3,80,0,2,Research Scientist,3,2,3,2.19722457733622,1.6094379124341005,0.6931471805599453,1,1,2,3,3,0,2,243,389,True,False,False,True
20,25,53,1,1282,5,3,Other,1,32,0,58,5,19094,10735,0,11,4,80,1,3,Manager,3,13,8,3.295836866004329,2.70805020110221,1.6094379124341005,0,3,3,3,2,0,4,82,68,True,False,False,False
21,27,42,1,691,8,4,Marketing,1,35,1,48,2,6825,21173,0,11,4,80,1,2,Sales Executive,3,7,2,2.3978952727983707,2.302585092994046,1.6094379124341005,0,2,3,3,3,0,0,285,138,False,True,True,False
22,28,44,1,477,7,4,Medical,1,36,0,42,3,10248,2094,0,14,4,80,1,4,Healthcare Representative,3,6,17,3.218875824868201,3.1354942159291497,1.791759469228055,0,4,1,2,3,0,3,111,389,True,False,True,False
23,29,46,1,705,2,4,Marketing,1,38,0,83,5,18947,22822,0,12,4,80,0,2,Manager,3,2,1,3.1354942159291497,1.0986122886681096,1.0986122886681096,0,1,2,3,2,0,3,82,138,False,True,False,True
24,30,33,1,924,2,3,Medical,1,39,1,78,1,2496,6670,0,11,4,80,0,3,Laboratory Technician,3,1,0,2.079441541679836,0.6931471805599453,0.0,0,4,3,3,3,0,4,217,389,True,False,False,True
25,31,44,1,1459,10,4,Other,1,40,1,41,2,6465,19121,0,13,4,80,0,5,Healthcare Representative,3,2,3,2.302585092994046,1.6094379124341005,0.6931471805599453,0,4,4,3,4,1,2,111,68,True,False,True,False
26,32,30,1,125,9,2,Medical,1,41,1,83,1,2206,16117,0,13,1,80,0,5,Laboratory Technician,3,0,8,2.3978952727983707,2.3978952727983707,0.6931471805599453,0,3,4,2,3,0,1,217,389,True,False,False,True
27,33,39,1,895,5,3,Technical Degree,1,42,1,56,2,2086,3335,0,14,3,80,1,6,Sales Representative,3,0,0,2.995732273553991,0.6931471805599453,0.0,1,4,4,3,4,0,3,71,115,False,True,True,False
28,34,24,1,813,1,3,Medical,1,45,1,61,1,2293,3020,0,16,1,80,1,2,Research Scientist,3,0,0,1.9459101490553128,1.0986122886681096,1.0986122886681096,1,4,2,3,2,1,2,243,389,True,False,True,False
29,35,43,1,1273,2,2,Medical,1,46,0,72,1,2645,21923,0,12,4,80,2,3,Research Scientist,3,3,4,1.9459101490553128,1.791759469228055,0.6931471805599453,0,3,4,4,2,0,1,243,389,True,False,False,False
30,36,50,1,869,3,2,Marketing,1,47,1,86,1,2683,3810,0,14,3,80,0,2,Sales Representative,3,2,2,1.3862943611198906,1.3862943611198906,0.0,1,3,1,2,3,1,1,71,138,False,True,True,False
31,37,35,1,890,2,3,Marketing,1,49,0,97,1,2014,9687,0,13,1,80,0,3,Sales Representative,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,0,4,4,3,3,0,1,71,138,False,True,True,False
32,38,36,1,852,5,4,Life Sciences,1,51,0,82,1,3419,13072,0,14,4,80,1,3,Research Scientist,3,1,0,1.9459101490553128,0.6931471805599453,0.0,0,1,2,2,4,1,9,243,510,True,False,True,False
33,39,33,2,1141,1,3,Life Sciences,1,52,0,42,2,5376,3193,0,19,1,80,2,3,Sales Executive,3,3,3,2.3978952727983707,1.791759469228055,0.6931471805599453,0,1,3,4,3,0,2,285,510,False,True,True,False
34,40,35,1,464,4,2,Other,1,53,1,75,1,1951,10910,0,12,3,80,1,3,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,4,3,3,3,0,1,217,68,True,False,False,False
35,41,27,1,1240,2,4,Life Sciences,1,54,0,33,1,2341,19715,0,13,4,80,1,6,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,1,4,3,3,0,1,217,510,True,False,False,False
36,42,26,1,1357,25,3,Life Sciences,1,55,1,48,1,2293,10558,0,12,3,80,0,2,Laboratory Technician,3,0,1,0.6931471805599453,0.6931471805599453,0.0,1,3,1,1,2,0,1,217,510,True,False,False,True
37,43,27,2,994,8,3,Life Sciences,1,56,1,37,3,8726,2975,0,15,4,80,0,0,Sales Executive,3,8,7,2.302585092994046,2.302585092994046,0.6931471805599453,0,3,4,3,3,0,1,285,510,False,True,False,True
38,45,41,1,1360,12,3,Technical Degree,1,58,0,49,5,19545,16280,0,12,4,80,0,0,Research Director,3,15,8,3.1780538303479458,3.1354942159291497,2.772588722239781,1,3,2,3,3,0,1,72,115,True,False,True,False
39,49,35,1,1229,8,1,Life Sciences,1,63,1,36,1,2269,4892,0,19,4,80,0,2,Laboratory Technician,3,0,1,0.6931471805599453,0.6931471805599453,0.0,0,4,4,4,3,0,1,217,510,True,False,True,False
40,50,48,1,626,1,2,Life Sciences,1,64,1,98,3,5381,19294,0,13,4,80,0,2,Laboratory Technician,3,0,0,3.1780538303479458,0.6931471805599453,0.0,1,3,1,2,3,1,9,217,510,True,False,False,True
41,51,28,1,1434,5,4,Technical Degree,1,65,1,50,1,3441,11179,0,13,3,80,0,3,Laboratory Technician,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,1,3,3,3,2,1,1,217,115,True,False,False,True
42,53,35,0,1097,11,2,Medical,1,70,1,79,3,9884,8302,0,13,3,80,1,3,Healthcare Representative,3,0,3,2.3978952727983707,1.6094379124341005,1.0986122886681096,0,1,3,2,3,1,2,111,389,True,False,True,False
43,54,26,1,1443,23,3,Marketing,1,72,0,47,2,4157,21436,0,19,3,80,1,2,Sales Executive,3,2,0,1.791759469228055,1.0986122886681096,0.0,0,4,3,2,2,1,7,285,138,False,True,True,False
44,55,33,2,515,1,2,Life Sciences,1,73,0,98,3,13458,15146,0,12,3,80,0,1,Research Director,3,14,12,2.772588722239781,2.772588722239781,2.19722457733622,0,4,1,3,3,1,1,72,510,True,False,False,True
45,57,35,1,1142,23,4,Medical,1,75,0,30,1,4014,16002,0,15,3,80,1,3,Laboratory Technician,3,2,2,1.6094379124341005,1.0986122886681096,1.0986122886681096,0,1,3,3,3,1,3,217,389,True,False,True,False
46,59,37,1,1115,1,4,Life Sciences,1,77,1,51,2,5993,2689,0,18,3,80,1,2,Manufacturing Director,3,5,7,2.079441541679836,2.079441541679836,0.0,0,3,1,2,4,0,1,118,510,True,False,False,False
47,61,38,2,653,29,5,Life Sciences,1,79,0,50,2,2406,5456,0,11,4,80,0,2,Laboratory Technician,3,3,9,2.3978952727983707,2.3978952727983707,2.302585092994046,0,4,4,3,3,0,1,217,510,True,False,False,True
48,62,50,1,989,7,2,Medical,1,80,0,43,5,18740,16701,0,12,4,80,1,2,Research Director,3,3,8,3.4011973816621555,3.332204510175204,2.639057329615259,0,3,2,2,2,1,5,72,389,True,False,False,False
49,63,59,1,1435,25,3,Life Sciences,1,81,0,99,3,7637,2354,0,11,4,80,0,3,Sales Executive,3,16,9,3.367295829986474,3.091042453358316,2.079441541679836,0,1,1,3,2,0,7,285,510,False,True,False,True
50,64,36,1,1223,8,3,Technical Degree,1,83,0,59,3,10096,8202,0,13,2,80,3,2,Healthcare Representative,3,14,8,2.8903717578961645,2.8903717578961645,2.5649493574615367,0,3,3,3,3,0,1,111,115,True,False,False,False
