Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked,JobRole_FreqEncoded,EducationField_FreqEncoded,Department_Research_and_Development,Department_Sales,MaritalStatus_Married,MaritalStatus_Single,Tenure_Category,Performance_Score,Engagement_Score
41,1,1102,1,2,1,1,0,94,2,5993,19479,0,11,1,80,0,0,3,4,5,2.19722457733622,1.9459101490553128,0.0,1,4,2,3,1,1,8,285,510,False,True,False,True,New,2.9000000000000004,1.2000000000000002
37,1,1373,2,2,1,4,1,92,1,2090,2396,0,15,2,80,0,3,3,0,0,2.079441541679836,0.0,0.0,1,3,4,2,3,1,6,217,68,True,False,False,True,New,3.0,2.0
33,2,1392,3,4,1,5,0,56,1,2909,23159,0,11,3,80,0,3,3,7,0,2.19722457733622,2.19722457733622,1.3862943611198906,0,3,4,3,3,1,1,243,510,True,False,True,False,Intermediate,3.0,2.2
27,1,591,2,1,1,7,1,40,1,3468,16632,0,12,4,80,1,3,3,2,2,1.9459101490553128,1.0986122886681096,1.0986122886681096,0,2,1,3,3,0,9,217,389,True,False,True,False,New,2.7,1.8000000000000003
32,2,1005,2,2,1,8,1,79,1,3068,11864,0,13,3,80,0,2,3,7,6,2.19722457733622,2.079441541679836,1.3862943611198906,0,4,4,3,2,0,0,217,510,True,False,False,True,Intermediate,3.1,1.4
36,1,1299,27,3,1,13,1,94,2,5237,16577,0,13,2,80,2,3,3,7,7,2.8903717578961645,2.079441541679836,2.079441541679836,0,3,3,3,2,0,6,111,389,True,False,True,False,Intermediate,2.8,1.6
35,1,809,16,3,1,14,1,84,1,2426,16479,0,13,3,80,1,5,3,4,3,1.9459101490553128,1.791759469228055,0.0,0,2,1,4,3,0,0,217,389,True,False,True,False,New,2.7,2.4000000000000004
29,1,153,15,2,1,15,0,49,2,4193,12682,0,12,4,80,0,3,3,5,8,2.3978952727983707,2.302585092994046,0.0,0,3,4,2,3,1,0,217,510,True,False,False,True,Intermediate,3.0,2.0
31,1,670,26,1,1,16,1,31,1,2911,15170,0,17,4,80,1,1,3,2,3,1.791759469228055,1.791759469228055,1.6094379124341005,0,3,1,3,2,0,1,243,510,True,False,False,False,New,2.8,1.2
34,1,1346,19,2,1,18,1,93,1,2661,8758,0,11,3,80,1,2,3,2,2,1.3862943611198906,1.0986122886681096,0.6931471805599453,0,4,2,3,3,0,0,217,389,True,False,False,False,New,3.3000000000000003,1.6
28,1,103,24,3,1,19,1,50,1,2028,12947,0,14,2,80,0,4,3,2,3,1.9459101490553128,1.6094379124341005,0.0,1,3,3,2,3,1,5,217,510,True,False,False,True,New,3.0,2.2
29,1,1389,21,4,1,20,0,51,3,9980,10195,0,11,3,80,1,1,3,9,8,2.3978952727983707,2.3978952727983707,2.19722457733622,0,1,2,4,3,0,1,118,510,True,False,False,False,Intermediate,2.4000000000000004,1.6
32,1,334,5,2,1,21,1,80,1,3298,15053,0,12,4,80,2,5,3,2,5,2.079441541679836,1.9459101490553128,0.0,0,2,1,4,2,1,0,243,510,True,False,False,False,New,2.5,2.6
22,0,1123,16,2,1,22,1,96,1,2935,7324,0,13,2,80,2,2,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,4,4,4,2,1,1,217,389,True,False,False,False,New,3.1,2.0
53,1,1219,2,4,1,23,0,78,4,15427,22021,0,16,3,80,0,3,3,8,7,3.4657359027997265,3.258096538021482,1.3862943611198906,0,4,1,2,3,0,2,82,510,False,True,True,False,Intermediate,3.3000000000000003,1.6
38,1,371,2,3,1,24,1,45,1,3944,4306,0,11,3,80,0,3,3,2,2,1.9459101490553128,1.3862943611198906,0.6931471805599453,0,4,4,3,3,1,5,243,510,True,False,False,True,New,3.3000000000000003,2.2
24,0,673,11,2,1,26,0,96,2,4011,8232,0,18,4,80,1,5,3,2,3,1.791759469228055,1.6094379124341005,0.6931471805599453,0,3,1,4,2,0,0,118,68,True,False,False,False,New,2.8,2.2
