,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked
0,41,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,Female,94,2,Single,5993,19479,Y,11,1,80,0,0,Sales Executive,3,4,5,2.1972245773362196,1.9459101490553132,0.0,Yes,4,2,3,1,Yes,8
2,37,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,Male,92,1,Single,2090,2396,Y,15,2,80,0,3,Laboratory Technician,3,0,0,2.0794415416798357,0.0,0.0,Yes,3,4,2,3,Yes,6
3,33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,Female,56,1,Married,2909,23159,Y,11,3,80,0,3,Research Scientist,3,7,0,2.1972245773362196,2.1972245773362196,1.3862943611198906,No,3,4,3,3,Yes,1
4,27,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,Male,40,1,Married,3468,16632,Y,12,4,80,1,3,Laboratory Technician,3,2,2,1.9459101490553132,1.0986122886681096,1.0986122886681096,No,2,1,3,3,No,9
5,32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,Male,79,1,Single,3068,11864,Y,13,3,80,0,2,Laboratory Technician,3,7,6,2.1972245773362196,2.0794415416798357,1.3862943611198906,No,4,4,3,2,No,0
9,36,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,Male,94,2,Married,5237,16577,Y,13,2,80,2,3,Healthcare Representative,3,7,7,2.8903717578961645,2.0794415416798357,2.0794415416798357,No,3,3,3,2,No,6
10,35,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,Male,84,1,Married,2426,16479,Y,13,3,80,1,5,Laboratory Technician,3,4,3,1.9459101490553132,1.791759469228055,0.0,No,2,1,4,3,No,0
11,29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,Female,49,2,Single,4193,12682,Y,12,4,80,0,3,Laboratory Technician,3,5,8,2.3978952727983707,2.302585092994046,0.0,No,3,4,2,3,Yes,0
12,31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,Male,31,1,Divorced,2911,15170,Y,17,4,80,1,1,Research Scientist,3,2,3,1.791759469228055,1.791759469228055,1.6094379124341003,No,3,1,3,2,No,1
13,34,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,Male,93,1,Divorced,2661,8758,Y,11,3,80,1,2,Laboratory Technician,3,2,2,1.3862943611198906,1.0986122886681096,0.6931471805599453,No,4,2,3,3,No,0
14,28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,Male,50,1,Single,2028,12947,Y,14,2,80,0,4,Laboratory Technician,3,2,3,1.9459101490553132,1.6094379124341003,0.0,Yes,3,3,2,3,Yes,5
15,29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,Female,51,3,Divorced,9980,10195,Y,11,3,80,1,1,Manufacturing Director,3,9,8,2.3978952727983707,2.3978952727983707,2.1972245773362196,No,1,2,4,3,No,1
16,32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,Male,80,1,Divorced,3298,15053,Y,12,4,80,2,5,Research Scientist,3,2,5,2.0794415416798357,1.9459101490553132,0.0,No,2,1,4,2,Yes,0
17,22,Non-Travel,1123,Research & Development,16,2,Medical,1,22,Male,96,1,Divorced,2935,7324,Y,13,2,80,2,2,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,4,4,4,2,Yes,1
18,53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,Female,78,4,Married,15427,22021,Y,16,3,80,0,3,Manager,3,8,7,3.4657359027997265,3.258096538021482,1.3862943611198906,No,4,1,2,3,No,2
19,38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,Male,45,1,Single,3944,4306,Y,11,3,80,0,3,Research Scientist,3,2,2,1.9459101490553132,1.3862943611198906,0.6931471805599453,No,4,4,3,3,Yes,5
20,24,Non-Travel,673,Research & Development,11,2,Other,1,26,Female,96,2,Divorced,4011,8232,Y,18,4,80,1,5,Manufacturing Director,3,2,3,1.791759469228055,1.6094379124341003,0.6931471805599453,No,3,1,4,2,No,0
22,34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,Female,53,3,Single,11994,21293,Y,11,3,80,0,4,Research Director,3,6,11,2.639057329615259,2.5649493574615367,1.0986122886681096,No,2,1,3,3,No,0
23,21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,Male,96,1,Single,1232,19281,Y,14,4,80,0,6,Research Scientist,3,0,0,0.0,0.0,0.0,No,4,3,3,3,No,1
24,34,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,Male,83,1,Single,2960,17102,Y,11,3,80,0,2,Research Scientist,3,2,3,2.1972245773362196,1.6094379124341003,0.6931471805599453,Yes,1,2,3,3,No,2
25,53,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,Female,58,5,Divorced,19094,10735,Y,11,4,80,1,3,Manager,3,13,8,3.295836866004329,2.70805020110221,1.6094379124341003,No,3,3,3,2,No,4
27,42,Travel_Rarely,691,Sales,8,4,Marketing,1,35,Male,48,2,Married,6825,21173,Y,11,4,80,1,2,Sales Executive,3,7,2,2.3978952727983707,2.302585092994046,1.6094379124341003,No,2,3,3,3,No,0
28,44,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,Female,42,3,Married,10248,2094,Y,14,4,80,1,4,Healthcare Representative,3,6,17,3.2188758248682006,3.1354942159291497,1.791759469228055,No,4,1,2,3,No,3
29,46,Travel_Rarely,705,Sales,2,4,Marketing,1,38,Female,83,5,Single,18947,22822,Y,12,4,80,0,2,Manager,3,2,1,3.1354942159291497,1.0986122886681096,1.0986122886681096,No,1,2,3,2,No,3
30,33,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,Male,78,1,Single,2496,6670,Y,11,4,80,0,3,Laboratory Technician,3,1,0,2.0794415416798357,0.6931471805599453,0.0,No,4,3,3,3,No,4
31,44,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,Male,41,2,Married,6465,19121,Y,13,4,80,0,5,Healthcare Representative,3,2,3,2.302585092994046,1.6094379124341003,0.6931471805599453,No,4,4,3,4,Yes,2
32,30,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,Male,83,1,Single,2206,16117,Y,13,1,80,0,5,Laboratory Technician,3,0,8,2.3978952727983707,2.3978952727983707,0.6931471805599453,No,3,4,2,3,No,1
33,39,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,Male,56,2,Married,2086,3335,Y,14,3,80,1,6,Sales Representative,3,0,0,2.995732273553991,0.6931471805599453,0.0,Yes,4,4,3,4,No,3
34,24,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,Male,61,1,Married,2293,3020,Y,16,1,80,1,2,Research Scientist,3,0,0,1.9459101490553132,1.0986122886681096,1.0986122886681096,Yes,4,2,3,2,Yes,2
35,43,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,Female,72,1,Divorced,2645,21923,Y,12,4,80,2,3,Research Scientist,3,3,4,1.9459101490553132,1.791759469228055,0.6931471805599453,No,3,4,4,2,No,1
36,50,Travel_Rarely,869,Sales,3,2,Marketing,1,47,Male,86,1,Married,2683,3810,Y,14,3,80,0,2,Sales Representative,3,2,2,1.3862943611198906,1.3862943611198906,0.0,Yes,3,1,2,3,Yes,1
37,35,Travel_Rarely,890,Sales,2,3,Marketing,1,49,Female,97,1,Married,2014,9687,Y,13,1,80,0,3,Sales Representative,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,No,4,4,3,3,No,1
38,36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,Female,82,1,Married,3419,13072,Y,14,4,80,1,3,Research Scientist,3,1,0,1.9459101490553132,0.6931471805599453,0.0,No,1,2,2,4,Yes,9
39,33,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,Female,42,2,Married,5376,3193,Y,19,1,80,2,3,Sales Executive,3,3,3,2.3978952727983707,1.791759469228055,0.6931471805599453,No,1,3,4,3,No,2
40,35,Travel_Rarely,464,Research & Development,4,2,Other,1,53,Male,75,1,Divorced,1951,10910,Y,12,3,80,1,3,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,4,3,3,3,No,1
41,27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,Female,33,1,Divorced,2341,19715,Y,13,4,80,1,6,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,1,4,3,3,No,1
42,26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,Male,48,1,Single,2293,10558,Y,12,3,80,0,2,Laboratory Technician,3,0,1,0.6931471805599453,0.6931471805599453,0.0,Yes,3,1,1,2,No,1
43,27,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,Male,37,3,Single,8726,2975,Y,15,4,80,0,0,Sales Executive,3,8,7,2.302585092994046,2.302585092994046,0.6931471805599453,No,3,4,3,3,No,1
45,41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,Female,49,5,Married,19545,16280,Y,12,4,80,0,0,Research Director,3,15,8,3.1780538303479458,3.1354942159291497,2.772588722239781,Yes,3,2,3,3,No,1
49,35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,Male,36,1,Married,2269,4892,Y,19,4,80,0,2,Laboratory Technician,3,0,1,0.6931471805599453,0.6931471805599453,0.0,No,4,4,4,3,No,1
50,48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,Male,98,3,Single,5381,19294,Y,13,4,80,0,2,Laboratory Technician,3,0,0,3.1780538303479458,0.6931471805599453,0.0,Yes,3,1,2,3,Yes,9
51,28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,Male,50,1,Single,3441,11179,Y,13,3,80,0,3,Laboratory Technician,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,Yes,3,3,3,2,Yes,1
53,35,Non-Travel,1097,Research & Development,11,2,Medical,1,70,Male,79,3,Married,9884,8302,Y,13,3,80,1,3,Healthcare Representative,3,0,3,2.3978952727983707,1.6094379124341003,1.0986122886681096,No,1,3,2,3,Yes,2
54,26,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,Female,47,2,Married,4157,21436,Y,19,3,80,1,2,Sales Executive,3,2,0,1.791759469228055,1.0986122886681096,0.0,No,4,3,2,2,Yes,7
55,33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,Female,98,3,Single,13458,15146,Y,12,3,80,0,1,Research Director,3,14,12,2.772588722239781,2.772588722239781,2.1972245773362196,No,4,1,3,3,Yes,1
57,35,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,Female,30,1,Married,4014,16002,Y,15,3,80,1,3,Laboratory Technician,3,2,2,1.6094379124341003,1.0986122886681096,1.0986122886681096,No,1,3,3,3,Yes,3
59,37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,Male,51,2,Divorced,5993,2689,Y,18,3,80,1,2,Manufacturing Director,3,5,7,2.0794415416798357,2.0794415416798357,0.0,No,3,1,2,4,No,1
61,38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,Female,50,2,Single,2406,5456,Y,11,4,80,0,2,Laboratory Technician,3,3,9,2.3978952727983707,2.3978952727983707,2.302585092994046,No,4,4,3,3,No,1
62,50,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,Female,43,5,Divorced,18740,16701,Y,12,4,80,1,2,Research Director,3,3,8,3.4011973816621555,3.332204510175204,2.639057329615259,No,3,2,2,2,Yes,5
63,59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,Female,99,3,Single,7637,2354,Y,11,4,80,0,3,Sales Executive,3,16,9,3.367295829986474,3.091042453358316,2.0794415416798357,No,1,1,3,2,No,7
64,36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,Female,59,3,Divorced,10096,8202,Y,13,2,80,3,2,Healthcare Representative,3,14,8,2.8903717578961645,2.8903717578961645,2.5649493574615367,No,3,3,3,3,No,1
65,55,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,Female,33,4,Divorced,14756,19730,Y,14,3,80,3,2,Manager,3,0,2,3.091042453358316,1.791759469228055,0.0,No,3,4,3,3,Yes,2
